properties	Shannon	Chao	NPE	TP	AP	pH	SOC	TN	TK	AK	AN	PAC
3NB2	5.57724	621.7603	1.0178451	0.278337427	1.09382107	4.19	5.474350906	0.460760547	12.28305258	85	31.375	0.392983826
3NB3	5.63777	652.9341	1.0532646	0.273666728	1.813975976	4.19	4.621742863	0.458601583	11.21205152	95	26.62	0.662841256
4CK1	3.538956	420.7093	0.453488	0.264130138	0.050016939	4.93	3.293594415	0.43902972	10.91476091	50	15.30162726	0.018936476
4CK2	2.958647	353.9865	1.1	0.268259777	0.728518122	4.57	3.0798	0.45	11.53483992	50	13.80638175	0.271571881
4CK3	2.636771	328.2471	0.355658	0.276040655	1.107920355	4.89	2.890508069	0.449409781	10.63633	57.5	15.58314701	0.401361298
4N1	3.74974	316.4746	0.852273	0.375031607	2.202008321	4.45	3.20292024	0.512658605	10.71706937	42.5	17.47138969	0.587152731
4N2	3.038344	397.6375	0.51711	0.300520997	1.003999966	4.5	3.325354355	0.490246859	11.0307095	50	21.42698529	0.334086462
4N3	3.138623	373	0.01145	0.294689837	1.987308645	4.74	2.736507937	0.44	10.76040172	42.5	19.31217286	0.674372983
4NS1	3.753885	521.383	0.615873	0.295944133	1.003999966	4.7	3.348471026	0.477480689	10.27269331	62.5	17.66143195	0.339253208
4NS2	4.319726	576.4262	0.468013	0.316166547	1.107920355	4.76	4.088154339	0.438930493	11.76866174	65	20.30738758	0.350423018
4NS3	3.479111	592.7586	0.426573	0.312328287	1.0386026	4.91	3.04540649	0.46	10.44094794	60	13.82029076	0.332535554
4NSM1	4.945021	662.0971	1.490446	0.441217922	7.205196811	4.57	4.223287359	0.591107342	11.74908051	70	13.58526474	1.633024511
4NSM2	4.790874	724.0571	1.022599	0.338769052	5.3	4.72	3.720311428	0.51613079	12.84549965	75	13.04836824	1.564487656
4NSM3	4.464493	623.1795	1.117978	0.41656271	3.409326377	4.58	3.765967482	0.479131886	11.13013699	70	15.03816464	0.818442529
4NB1	4.38109	632.1235	1.191176	0.362362128	1.738633411	4.71	5.339186653	0.515075377	10.95264728	81.66666667	14.66004313	0.479805497
