0-1yr	X	CK	X	N	X	NS	X	NSM	X	NB	2-3yr	X	CK	X	N	X	NS	X	NSM	X	NB	4-5yr	X	CK	X	N	X	NS	X	NSM	X	NB	4-5yr	X	CK	X	N	X	NS	X	NSM	X	NB
	0.033543	0.202838	0.039312	0.144455	0.040816	0.336592	0.054983	0.512327	0.060377	0.14242		0.037037	0.234471	0.052632	0.358794	0.02	0.20968	0.025848	0.86491	0.02735	0.326687		0.069264	0.076762	0.021918	0.241781	0.031008	0.575443	0.024502	0.509055	0.021828	0.271242		0.103896	0.082135	0.021534	0.295069	0.029685	0.613235	0.02108	0.46873	0.020888	0.346252
	0.035639	0.197118	0.041769	0.144837	0.043367	0.337508	0.058419	0.509273	0.064151	0.134544		0.039352	0.232446	0.055921	0.355401	0.02125	0.209883	0.027464	0.862052	0.02906	0.327271		0.073593	0.077039	0.023288	0.240788	0.032946	0.57277	0.026034	0.505688	0.023192	0.271537		0.11039	0.082797	0.02288	0.295481	0.03154	0.609286	0.022398	0.469366	0.022193	0.346719
	0.037736	0.197357	0.044226	0.142182	0.045918	0.338429	0.061856	0.504049	0.067925	0.129004		0.041667	0.226958	0.059211	0.356384	0.0225	0.210097	0.029079	0.859198	0.030769	0.327849		0.077922	0.077423	0.024658	0.241067	0.034884	0.571911	0.027565	0.505393	0.024557	0.271921		0.116883	0.083413	0.024226	0.295893	0.033395	0.606829	0.023715	0.470006	0.023499	0.346073
	0.039832	0.197796	0.046683	0.14256	0.048469	0.339356	0.065292	0.498143	0.071698	0.129555		0.043981	0.221589	0.0625	0.355135	0.02375	0.209894	0.030695	0.860576	0.032479	0.328436		0.082251	0.077798	0.026027	0.239286	0.036822	0.573081	0.029096	0.506199	0.025921	0.272242		0.123377	0.081133	0.025572	0.296307	0.03525	0.604496	0.025033	0.470648	0.024804	0.345874
	0.041929	0.198207	0.04914	0.14294	0.05102	0.340287	0.068729	0.491371	0.075472	0.130111		0.046296	0.221258	0.065789	0.35639	0.025	0.210166	0.03231	0.8602	0.034188	0.329004		0.08658	0.071539	0.027397	0.2395	0.03876	0.568982	0.030628	0.50513	0.027285	0.272627		0.12987	0.081722	0.026918	0.296572	0.037106	0.605677	0.02635	0.468486	0.02611	0.345061
	0.044025	0.198648	0.051597	0.143322	0.053571	0.341224	0.072165	0.485225	0.079245	0.129427		0.048611	0.216638	0.069079	0.357684	0.02625	0.210369	0.033926	0.857562	0.035897	0.328582		0.090909	0.06974	0.028767	0.239722	0.040698	0.567368	0.032159	0.50196	0.028649	0.273		0.136364	0.082414	0.028264	0.296988	0.038961	0.606746	0.027668	0.468977	0.027415	0.34553
	0.046122	0.199092	0.054054	0.143706	0.056122	0.337348	0.075601	0.477769	0.083019	0.129836		0.050926	0.217179	0.072368	0.358986	0.0275	0.210567	0.035541	0.855557	0.037607	0.329174		0.095238	0.070082	0.030137	0.239991	0.042636	0.563157	0.033691	0.501677	0.030014	0.269738		0.142857	0.080048	0.02961	0.297404	0.040816	0.603907	0.028986	0.46962	0.028721	0.346
	0.048218	0.194506	0.056511	0.144092	0.058673	0.337765	0.079038	0.479594	0.086792	0.129814		0.053241	0.217723	0.075658	0.353145	0.02875	0.208781	0.037157	0.852947	0.039316	0.326209		0.099567	0.070437	0.031507	0.240335	0.044574	0.564318	0.035222	0.500332	0.031378	0.267815		0.149351	0.080738	0.030956	0.297821	0.042672	0.599937	0.030303	0.470265	0.030026	0.346226
	0.050314	0.189517	0.058968	0.144381	0.061224	0.338692	0.082474	0.481436	0.090566	0.130355		0.055556	0.218269	0.078947	0.34773	0.03	0.208997	0.038772	0.849997	0.041026	0.326799		0.103896	0.070809	0.032877	0.239143	0.046512	0.560414	0.036753	0.497999	0.032742	0.26755		0.155844	0.081439	0.032301	0.298068	0.044527	0.597203	0.031621	0.470911	0.031332	0.346698
	0.052411	0.189491	0.061425	0.144771	0.063776	0.332916	0.085911	0.473821	0.09434	0.130927		0.05787	0.218819	0.082237	0.341291	0.03125	0.208933	0.040388	0.847129	0.042735	0.324777		0.108225	0.071184	0.034247	0.23715	0.04845	0.561186	0.038285	0.497929	0.034106	0.267323		0.162338	0.059072	0.033647	0.298018	0.046382	0.592895	0.032938	0.471371	0.032637	0.346085
	0.054507	0.185206	0.063882	0.145163	0.066327	0.327031	0.089347	0.475087	0.098113	0.131503		0.060185	0.212182	0.085526	0.342543	0.0325	0.20571	0.042003	0.84588	0.044444	0.321055		0.112554	0.071561	0.035616	0.237255	0.050388	0.560196	0.039816	0.498259	0.035471	0.267464		0.168831	0.059611	0.034993	0.295628	0.048237	0.594067	0.034256	0.468326	0.033943	0.345502
	0.056604	0.182001	0.066339	0.145557	0.068878	0.320918	0.092784	0.476932	0.101887	0.132084		0.0625	0.212719	0.088816	0.332652	0.03375	0.205911	0.043619	0.84453	0.046154	0.317392		0.116883	0.071943	0.036986	0.237404	0.052326	0.559562	0.041348	0.494706	0.036835	0.267847		0.175325	0.042382	0.036339	0.293661	0.050093	0.595153	0.035573	0.468973	0.035248	0.345956
