ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	mean	Label
otu70622	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	2.166666667	otu70622
otu66520	k__Bacteria	c__Betaproteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Collimonas	s__Collimonasfungivorans	124.5	otu66520
otu114379	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	1.666666667	otu114379
otu110483	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumoligotrophicum	25.16666667	otu110483
otu71542	k__Bacteria	c__Gammaproteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonasstutzeri	7.5	otu71542
otu60744	k__Bacteria	c__Gammaproteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonasstutzeri	2.833333333	otu60744
otu395	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumoligotrophicum	5	otu395
otu98873	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__Pleomorphomonas	s__Pleomorphomonassp.SM30	5.333333333	otu98873
otu63619	k__Bacteria	c__Gammaproteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonasstutzeri	6.166666667	otu63619
otu34809	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	17.16666667	otu34809
otu49051	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	4.833333333	otu49051
otu54118	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	2.833333333	otu54118
otu28911	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumoligotrophicum	1.833333333	otu28911
otu80234	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	1.5	otu80234
otu13467	k__Bacteria	c__Betaproteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Collimonas	s__Collimonasfungivorans	2	otu13467
otu111438	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	6.666666667	otu111438
otu71409	k__Bacteria	c__Gammaproteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Xanthomonas	s__Xanthomonasoryzae	18	otu71409
otu72588	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	1.5	otu72588
otu46005	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	2.5	otu46005
otu46600	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	4.666666667	otu46600
otu17829	k__Bacteria	c__Betaproteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Collimonas	s__Collimonasfungivorans	3.833333333	otu17829
